"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3343.12","3341.03","3338.94","3336.85","3334.76","3332.67","3330.58","3328.49","3326.4","3324.32","3322.24","3320.16","3318.08","3316","3313.92","3311.84","3309.76","3307.68","3305.6","3303.52","3301.44","3299.36","3297.28","3295.2","3293.1","3291","3288.9","3286.8","3284.7","",
"American Samoa","ASM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180.7","180.36","180.02","179.68","179.34","179","178.66","178.32","177.98","177.64","177.3","177","176.7","176.4","176.1","175.8","175.5","175.2","174.9","174.6","174.3","174","173.7","173.4","173.1","172.8","172.5","172.2","171.9","171.6","171.3","",
"Antigua and Barbuda","ATG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.1","100.44","99.78","99.12","98.46","97.8","97.14","96.48","95.82","95.16","94.5","93.83","93.16","92.49","91.82","91.15","90.48","89.81","89.14","88.47","87.8","87.14","86.48","85.82","85.16","84.5","83.8","83.2","82.5","81.8","81.2","",
"Australia","AUS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1338822","1336753.9","1334685.8","1332617.7","1330549.6","1328481.5","1326413.4","1324345.3","1322277.2","1320209.1","1318141","1315873","1313605","1311337","1309069","1306801","1304533","1302265","1299997","1297729","1295461","1302557.8","1309654.6","1316751.4","1323848.2","1330945","1340372","1340174","1340051","1340051","1340051","",
"Austria","AUT","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37756.7","37819.17","37881.64","37944.11","38006.58","38069.05","38131.52","38193.99","38256.46","38318.93","38381.4","38406.46","38431.52","38456.58","38481.64","38506.7","38531.76","38556.82","38581.88","38606.94","38632","38667.98","38703.96","38739.94","38775.92","38811.9","38847.9","38883.8","38919.7","38955.6","38991.5","",
"Azerbaijan","AZE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9532.36","9574.84","9617.32","9659.8","9702.28","9744.76","9787.24","9829.72","9872.2","9917.475","9962.749","10008.024","10053.298","10098.573","10143.848","10189.122","10234.397","10279.671","10324.946","10415.731","10506.515","10597.3","10688.085","10778.87","10874.752","10971.848","11087.15","11202.4","11317.7","",
"Burundi","BDI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2764.8","2682.26","2599.72","2517.18","2434.64","2352.1","2269.56","2187.02","2104.48","2021.94","1939.4","1939.4","1939.4","1939.4","1939.4","1939.4","1939.4","1939.4","1939.4","1939.4","1939.4","2110.8","2282.2","2453.6","2625","2796.4","2796.4","2796.4","2796.4","2796.4","2796.4","",
"Belgium","BEL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7632","7622.8","7613.6","7604.4","7595.2","7586","7576.8","7567.6","7558.4","7549.2","6673","6695.57","6718.14","6740.71","6763.28","6785.85","6808.42","6830.99","6853.56","6876.13","6898.7","6897.56","6896.42","6895.28","6894.14","6893","6893","6893","6893","6893","6893","",
"Benin","BEN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48351.5","47651.5","46951.5","46251.5","45551.5","44851.5","44151.5","43451.5","42751.5","42051.5","41351.5","40851.5","40351.5","39851.5","39351.5","38851.5","38351.5","37851.5","37351.5","36851.5","36351.5","35851.5","35351.5","34851.5","34351.5","33851.5","33351.5","32851.5","32351.5","31851.5","31351.5","",
"Burkina Faso","BFA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77166","76665.9","76165.8","75665.7","75165.6","74665.5","74165.4","73665.3","73165.2","72665.1","72165","71665","71165","70665","70165","69665","69165","68665","68165","67665","67165","66664.8","66164.6","65664.4","65164.2","64664","64164","63664","63164","62664","62164","",
"Bangladesh","BGD","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19203.3","19203.298","19203.296","19203.294","19203.292","19203.29","19203.289","19203.287","19203.285","19203.283","19203.281","19171.295","19139.309","19107.323","19075.337","19043.351","19011.365","18979.379","18947.393","18915.406","18883.42","18873.536","18863.652","18853.768","18843.884","18834","18834","18834","18834","18834","18834","",
"Bulgaria","BGR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33270","33318","33366","33414","33462","33510","33558","33606","33654","33702","33750","34112","34474","34836","35198","35560","35922","36284","36646","37008","37370","37562","37754","37946","38138","38330","38410","38540","38670","38800","38930","",
"Bahrain","BHR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","2.35","2.5","2.65","2.8","2.95","3.1","3.25","3.4","3.55","3.7","3.85","4","4.15","4.3","4.45","4.6","4.75","4.9","5.05","5.2","5.36","5.52","5.68","5.84","6","6.2","6.4","6.6","6.8","7","",
"Bahamas, The","BHS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","5098.6","",
"Bosnia and Herzegovina","BIH","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21903.3","21804.95","21706.6","21608.25","21509.9","21411.55","21313.2","21214.85","21116.5","21107.51","21098.52","21089.53","21080.54","21071.55","21062.56","21053.57","21044.58","21035.59","21026.6","21142.28","21257.96","21373.64","21489.32","21605","21765.1","21879.1","21879.1","21879.1","21879.1","",
"Belarus","BLR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78786","79279","79772","80265","80758","81251","81744","82237","82730","83087","83444","83801","84158","84515","84872","85229","85586","85943","86300","86307","86314","86321","86328","86335","87096","87241","87386","87531","87676","",
"Belize","BLZ","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16000.3","15859.57","15718.84","15578.11","15437.38","15296.65","15155.92","15015.19","14874.46","14733.73","14593","14525.09","14457.18","14389.27","14321.36","14253.45","14185.54","14117.63","14049.72","13981.81","13913.9","13796.78","13679.66","13562.54","13445.42","13328.3","13216.8","13105.2","12993.7","12882.1","12770.5","",
"Bermuda","BMU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","",
"Bolivia","BOL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","578047.2","575343.87","572640.54","569937.21","567233.88","564530.55","561827.22","559123.89","556420.56","553717.23","551013.9","548998.52","546983.14","544967.76","542952.38","540937","538921.62","536906.24","534890.86","532875.48","530860.1","528742.52","526624.94","524507.36","522389.78","520272.2","517506.8","514922.2","512532.4","510337.6","508337.6","",
"Brazil","BRA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5888980","5851170.6","5813361.2","5775551.8","5737742.4","5699933","5662123.6","5624314.2","5586504.8","5548695.4","5510886","5471378.1","5431870.2","5392362.3","5352854.4","5313346.5","5273838.6","5234330.7","5194822.8","5155314.9","5115807","5100415.2","5085023.4","5069631.6","5054239.8","5038848","5020821","5000916","4990514","4977985","4966196","",
"Barbados","BRB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","63","",
"Brunei Darussalam","BRN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4130","4114","4098","4082","4066","4050","4034","4018","4002","3986","3970","3953","3936","3919","3902","3885","3868","3851","3834","3817","3800","3800","3800","3800","3800","3800","3800","3800","3800","3800","3800","",
"Bhutan","BTN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25067.2","25166.48","25265.76","25365.04","25464.32","25563.6","25662.88","25762.16","25861.44","25960.72","26060","26159.29","26258.58","26357.87","26457.16","26556.45","26655.74","26755.03","26854.32","26953.61","27052.9","27072.68","27092.46","27112.24","27132.02","27151.8","27171.6","27191.4","27211.2","27231","27250.8","",
"Botswana","BWA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188037","186854","185671","184488","183305","182122","180939","179756","178573","177390","176207","175024","173841","172658","171475","170292","169109","167926","166743","165560","164377","163194","162011","160828","159645","158462","157279","156096","154913","153730","152547","",
"Central African Republic","CAF","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232030","231730","231430","231130","230830","230530","230230","229930","229630","229330","229030","228730","228430","228130","227830","227530","227230","226930","226630","226330","226030","225730","225430","225130","224830","224530","224230","223930","223630","223330","223030","",
"Canada","CAN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3482729.3","3482258.34","3481787.38","3481316.42","3480845.46","3480374.5","3479903.54","3479432.58","3478961.62","3478490.66","3478019.7","3477539.94","3477060.18","3476580.42","3476100.66","3475620.9","3475141.14","3474661.38","3474181.62","3473701.86","3473222.1","3472809.1","3472396.1","3471983.1","3471570.1","3471157.1","3470760.4","3470390.5","3470020.7","3469650.8","3469281","",
"Central Europe and the Baltics","CEB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","203939","204266.27","308724.52","354647.18","355237.24","355827.3","356417.36","357007.42","357597.48","358187.54","358777.6","360147.66","361517.72","362887.78","364257.84","365627.9","366997.96","368368.02","369738.08","371108.14","372478.2","373931.3","375384.4","376837.5","378290.6","379743.7","380336.502","380939.984","381258","381574.9","381881.8","",
"Switzerland","CHE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11535","11577.68","11620.36","11663.04","11705.72","11748.4","11791.08","11833.76","11876.44","11919.12","11961.8","12000.34","12038.88","12077.42","12115.96","12154.5","12193.04","12231.58","12270.12","12308.66","12347.2","12381.58","12415.96","12450.34","12484.72","12519.1","12553.5","12587.9","12622.3","12656.7","12691.1","",
"Channel Islands","CHI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152460.5","153031.51","153602.52","154173.53","154744.54","155315.55","155886.56","156457.57","157028.58","157599.59","158170.6","159078.8","159987","160895.2","161803.4","162711.6","163619.8","164528","165436.2","166344.4","167252.6","168994.24","170735.88","172477.52","174219.16","175960.8","177190.1","178419.4","179648.7","180878","182107","",
"China","CHN","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1571405.9","1591265.86","1611125.82","1630985.78","1650845.74","1670705.7","1690565.66","1710425.62","1730285.58","1750145.54","1770005.5","1793615.33","1817225.16","1840834.99","1864444.82","1888054.65","1911664.48","1935274.31","1958884.14","1982493.97","2006103.8","2025471.54","2044839.28","2064207.02","2083574.76","2102942.5","2124598.67","2143394.7","2162190.4","2180986.1","2199781.8","",
"Cote d'Ivoire","CIV","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78508.6","75752.19","72995.78","70239.37","67482.96","64726.55","61970.14","59213.73","56457.32","53700.91","50944.5","49815.63","48686.76","47557.89","46429.02","45300.15","44171.28","43042.41","41913.54","40784.67","39655.8","38526.94","37398.08","36269.22","35140.36","34011.5","32882.6","31753.7","30624.8","29496","28367.1","",
"Cameroon","CMR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225000","224097.49","223194.98","222292.47","221389.96","220487.45","219584.94","218682.43","217779.92","216877.41","215974.9","215277.89","214580.88","213883.87","213186.86","212489.85","211792.84","211095.83","210398.82","209701.81","209004.8","208444.8","207884.8","207324.8","206764.8","206204.8","205644.8","205084.8","204524.8","203964.8","203404.8","",
"Congo, Dem. Rep.","COD","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1506290","1499560","1492830","1486100","1479370","1472640","1465910","1459180","1452450","1445720","1438990","1432260","1425530","1418800","1412070","1405340","1398610","1391880","1385150","1378420","1371690","1360676.24","1349662.48","1338648.72","1327634.96","1316621.2","1305607.4","1294593.7","1283579.9","1272566.1","1261552.4","",
"Congo, Rep.","COG","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","223150","223030","222910","222790","222670","222550","222430","222310","222190","222070","221950","221830","221710","221590","221470","221350","221230","221110","220990","220870","220750","220630","220510","220390","220270","220150","220030","219910","219760","219610","219460","",
"Colombia","COL","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","649581.4","647358.76","645136.12","642913.48","640690.84","638468.2","636245.56","634022.92","631800.28","629577.64","627355","625427.29","623499.58","621571.87","619644.16","617716.45","615788.74","613861.03","611933.32","610005.61","608077.9","606731.64","605385.38","604039.12","602692.86","601346.6","599594.9","597397.7","595404.8","593412","591419.1","",
"Comoros","COM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460.6","456.22","451.84","447.46","443.08","438.7","434.32","429.94","425.56","421.18","416.8","412.42","408.04","403.66","399.28","394.9","390.52","386.14","381.76","377.38","373","368.62","364.24","359.86","355.48","351.1","346.7","342.3","338","333.6","329.2","",
"Cabo Verde","CPV","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153.8","178.14","202.48","226.82","251.16","275.5","299.84","324.18","348.52","372.86","397.2","400.2","403.2","406.2","409.2","412.2","415.2","418.2","421.2","424.2","427.2","430.2","433.2","436.2","439.2","442.2","445.2","448.2","451.2","454.2","457.2","",
"Costa Rica","CRI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29074","29023.82","28973.64","28923.46","28873.28","28823.1","28772.92","28722.74","28672.56","28622.38","28572.2","28586.18","28600.16","28614.14","28628.12","28642.1","28656.08","28670.06","28684.04","28698.02","28712","28875.66","29039.32","29202.98","29366.64","29530.3","29694","29857.7","30021.3","30185","30348.7","",
"Caribbean small states","CSS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369972.4","369748.93","369525.46","369301.99","369078.52","368855.05","368631.58","368408.11","368184.64","367961.17","367737.7","367616.67","367495.64","367374.61","367253.58","367132.55","367011.52","366890.49","366769.46","366648.43","366527.4","366230.12","365932.84","365635.56","365338.28","365041","364757.9","364515.3","364223.4","363931.1","363639.2","",
"Cuba","CUB","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20580","20957","21334","21711","22088","22465","22842","23219","23596","23973","24350","24847","25344","25841","26338","26835","27332","27829","28326","28823","29320","29824","30328","30832","31336","31840","32410","32420","32420","32420","32420","",
"Curacao","CUW","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.7","",
"Cayman Islands","CYM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131.3","131.1","130.9","130.7","130.5","130.3","130.1","129.9","129.7","129.5","129.3","129.09","128.88","128.67","128.46","128.25","128.04","127.83","127.62","127.41","127.2","127.2","127.2","127.2","127.2","127.2","127.2","127.2","128.1","127.2","127.2","",
"Cyprus","CYP","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1611.1","1621.6","1632.1","1642.6","1653.1","1663.6","1674.1","1684.6","1695.1","1705.6","1716.1","1717.33","1718.56","1719.79","1721.02","1722.25","1723.48","1724.71","1725.94","1727.17","1728.4","1728.14","1727.88","1727.62","1727.36","1727.1","1726.1","1725.9","1725.7","1725.5","1725.3","",
"Czechia","CZE","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26317.81","26325.68","26333.55","26341.42","26349.29","26357.16","26365.03","26372.9","26392.99","26413.08","26433.17","26453.26","26473.35","26493.44","26513.53","26533.62","26553.71","26573.8","26595.82","26617.84","26639.86","26661.88","26683.9","26698.5","26716.6","26734.7","26752.8","26770.9","",
"Germany","DEU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113000","113054","113108","113162","113216","113270","113324","113378","113432","113486","113540","113595","113650","113705","113760","113815","113870","113925","113980","114035","114090","114110","114130","114150","114170","114190","114190","114190","114190","114190","114190","",
"Djibouti","DJI","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56","56.1","56.4","57","58","",
"Dominica","DMA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","503.1","500.66","498.22","495.78","493.34","490.9","488.46","486.02","483.58","481.14","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","",
"Denmark","DNK","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5314.4","5354.56","5394.72","5434.88","5475.04","5515.2","5555.36","5595.52","5635.68","5675.84","5716","5730.89","5745.78","5760.67","5775.56","5790.45","5805.34","5820.23","5835.12","5850.01","5864.9","5941.28","6017.66","6094.04","6170.42","6246.8","6246.6","6256","6265.6","6275","6284.4","",
"Dominican Republic","DOM","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15948.9","16326.48","16704.06","17081.64","17459.22","17836.8","18214.38","18591.96","18969.54","19347.12","19724.7","19825.35","19926","20026.65","20127.3","20227.95","20328.6","20429.25","20529.9","20630.55","20731.2","20792.26","20853.32","20914.38","20975.44","21036.5","21117.4","21198.3","21279.2","21360.1","21441","",
"Algeria","DZA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16670","16582","16494","16406","16318","16230","16142","16054","15966","15878","15790","16129","16468","16807","17146","17485","17824","18163","18502","18841","19180","19256","19332","19408","19484","19560","19560","19430","19300","19390","19490","",
"East Asia & Pacific (excluding high income)","EAP","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4636451.7","4635189.106","4632815.213","4630441.319","4628067.425","4625693.531","4623319.638","4620945.744","4618571.85","4616197.956","4613824.063","4632825.632","4651827.201","4670828.77","4689830.339","4708831.908","4727833.477","4746835.046","4765836.615","4784838.184","4803839.753","4809432.624","4815025.495","4820618.366","4826211.238","4831804.109","4852144.37","4852271.7","4859939.3","4867609.8","4875280.4","",
"Early-demographic dividend","EAR","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8352605.2","8362184.368","8394379.121","8343910.279","8304878.838","8265847.397","8226815.958","8187784.517","8148753.075","8109721.634","8070690.194","8049101.832","8027513.47","8005925.108","7984336.746","7962748.384","7941160.022","7919571.66","7897983.298","7876394.935","7854806.573","7824279.76","7793752.947","7763226.134","7732699.322","7702172.509","7686805","7655531.46","7632988.4","7610957.1","7589317.5","",
"East Asia & Pacific","EAS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6398280.269","6395610.222","6391492.775","6387375.328","6383257.88","6379140.433","6375022.987","6370905.539","6366788.092","6362670.644","6358553.198","6375269.613","6391986.029","6408702.445","6425418.861","6442135.277","6458851.693","6475568.109","6492284.525","6509000.941","6525717.357","6538256.81","6550796.263","6563335.716","6575875.17","6588414.623","6617999.125","6617836.7","6625321.5","6632992.9","6640831.4","",
"Europe & Central Asia (excluding high income)","ECA","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","238992.8","239386.17","8691472.094","8693381.203","8695290.312","8697199.422","8699108.531","8701017.64","8702926.749","8704835.859","8706744.968","8714807.726","8722870.482","8730933.24","8738995.997","8747058.755","8788705.512","8797222.269","8805739.027","8814255.783","8822772.541","8825117.135","8827461.727","8829806.32","8832150.914","8834495.507","8838352.052","8842640.675","8845392.462","8848146","8850901.7","",
"Europe & Central Asia","ECS","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1669786.91","1676687.769","10239412.161","10293424.149","10302103.536","10310782.925","10319462.313","10328141.7","10336821.088","10345500.476","10354179.864","10366842.944","10379506.023","10392169.104","10404832.184","10417495.264","10463742.343","10476859.423","10489976.504","10503093.583","10516210.663","10521961.719","10527712.772","10533463.827","10539214.882","10544965.937","10551026.254","10557501.859","10562160.262","10566819.1","10571460.1","",
"Ecuador","ECU","Forest area (sq. km)","AG.LND.FRST.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146322.1","145420.39","144518.68","143616.97","142715.26","141813.55","140911.84","140010.13","139108.42","138206.71","137305","136602.69","135900.38","135198.07","134495.76","133793.45","133091.14","132388.83","131686.52","130984.21","130281.9","129863.88","129445.86","129027.84","128609.82","128191.8","127549.1","126906.4","126263.7","125621","124978.3","",
